Provinsi di Indonesia,Jumlah Penduduk Menurut Provinsi di Indonesia (Ribu Jiwa),
,2024,2023
Aceh,5554.8,5409.2
Sumatera Utara,15588.5,15180.5
Sumatera Barat,5836.2,5677.6
Riau,6728.1,6555.8
Kep. Riau,2183.3,2121.5
Jambi,3724.3,3633.2
Sumatera Selatan,8837.3,8647.3
Kep. Bangka Belitung,1531.5,1492
Bengkulu,2112.2,2059.4
Lampung,9419.6,4496.6
DKI Jakarta,10684.9,10640
Jawa Barat,50345.2,49306.8
Banten,12431.4,12167
Jawa Tengah,37892.3,37180.4
DI Yogyakarta,3759.5,3712.6
Jawa Timur,41814.5,41230
Kalimantan Barat,5695.5,5549.7
Kalimantan Tengah,2809.7,2737.2
Kalimantan Selatan,4273.4,4170.2
Kalimantan Timur,4045.9,3856.8
Kalimantan Utara,739.8,720.1
Sulawesi Utara,2701.8,2660.8
Gorontalo,1227.8,1198.4
Sulawesi Tengah,3121.8,3051.2
Sulawesi Selatan,9463.4,9260.1
Sulawesi Barat,1503.2,1458.9
Sulawesi Tenggara,2793.1,2704.6
Bali,4433.3,4374.3
Nusa Tenggara Barat,5646,5474
Nusa Tenggara Timur,5656,5481.8
Maluku,1945.6,1895.1
Maluku Utara,1355.6,1318.5
Papua Barat,1205.8,1168.4
Papua,4542.6,4429.7
Indonesia,281603.8,275719.9